dataset,specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params
California Housing,Extended,10000,5,Random Forest,5,0.2333912439684762,0.1662683408675117,0.8241755182972956,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,10000,5,XGBoost,1,0.2382990844132034,0.1695333001434063,0.8255092644733353,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
California Housing,Extended,10000,5,XGBoost,2,0.2399541174403599,0.1729002164629464,0.8243135494489843,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,10000,5,XGBoost,3,0.235394259344112,0.1695609991465974,0.8284063043320096,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,10000,5,XGBoost,4,0.2390547013990191,0.1696756896789829,0.8218783439476536,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
California Housing,Extended,10000,5,XGBoost,5,0.2300149013437593,0.167104698730958,0.8292258340143716,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,10000,5,TabPFN,1,0.190519325230581,0.1213304554549404,0.8884664064212042,{}
California Housing,Extended,10000,5,TabPFN,2,0.1959557904955383,0.1274751882220741,0.8828349563851595,{}
California Housing,Extended,10000,5,TabPFN,3,0.1860564974878907,0.1223239490085632,0.892798891671598,{}
California Housing,Extended,10000,5,TabPFN,4,0.1933664442800378,0.1257655475616252,0.8834574897288352,{}
California Housing,Extended,10000,5,TabPFN,5,0.1900180542381484,0.1260293844355318,0.8834533052208791,{}
California Housing,Parsimonious,1000,5,OLS,1,0.41846243894722673,0.32452228625340696,0.501332301584114,{}
California Housing,Parsimonious,1000,5,OLS,2,0.41053440916919615,0.3014911680523783,0.4351353110897799,{}
California Housing,Parsimonious,1000,5,OLS,3,0.3966540562143457,0.3126657962008459,0.5620483510450338,{}
California Housing,Parsimonious,1000,5,OLS,4,0.4158755349103485,0.31973948863870305,0.4708401075552866,{}
California Housing,Parsimonious,1000,5,OLS,5,0.39917454472646097,0.29694533377074755,0.46351178768243084,{}
California Housing,Extended,1000,5,OLS,1,0.3645622397223772,0.28381178368183074,0.6215211278195685,{}
California Housing,Extended,1000,5,OLS,2,0.33187158871038014,0.243182382172659,0.6308648105197865,{}
California Housing,Extended,1000,5,OLS,3,0.5312209859881459,0.28955441686615074,0.21448801899517123,{}
California Housing,Extended,1000,5,OLS,4,0.34139622072298176,0.26408343730411027,0.6434030758412628,{}
California Housing,Extended,1000,5,OLS,5,0.3378443308806678,0.25268927363177285,0.6157023061127465,{}
