dataset,specification,sample_size,outer_folds,model,zipcode_representation,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,result_source
California Housing,Parsimonious,20640,5,TabPFN,Not applicable,0.3457413299956634,0.0081570918845848,0.2596523599719965,0.0059410988707097,0.6306958000951489,0.0167557433523472,5-fold sample-size experiment
California Housing,Extended,1000,5,OLS,Not applicable,0.3813790732049105,0.0846762924579897,0.2666642587313046,0.0198201685528519,0.5451958678577071,0.1851676320794938,5-fold sample-size experiment
California Housing,Extended,1000,5,Ridge,Not applicable,0.3811249224544778,0.0841909220855728,0.2665701542212935,0.0197097926891474,0.5459204986092387,0.183759459039648,5-fold sample-size experiment
California Housing,Extended,1000,5,Random Forest,Not applicable,0.3010760959687036,0.0168062802397921,0.2234906692239972,0.0155070340454317,0.7200521931756567,0.0372413977766434,5-fold sample-size experiment
California Housing,Extended,1000,5,XGBoost,Not applicable,0.2630054193600666,0.0189226175887994,0.1924525676045609,0.0136747401202952,0.7861498913148552,0.03263234037187,5-fold sample-size experiment
California Housing,Extended,1000,5,TabPFN,Not applicable,0.2277119910303858,0.0107331451824743,0.1587354991779413,0.0083339870866209,0.8403953476037603,0.0153939113921464,5-fold sample-size experiment
California Housing,Extended,2500,5,OLS,Not applicable,0.3410891704976143,0.0212246488818256,0.2516223828481112,0.0086285738660941,0.6394842205873299,0.0426114313507997,5-fold sample-size experiment
California Housing,Extended,2500,5,Ridge,Not applicable,0.3410747767333429,0.0211840240440905,0.2516579374443568,0.0085984960811299,0.6395146822273162,0.0425646772948998,5-fold sample-size experiment
California Housing,Extended,2500,5,Random Forest,Not applicable,0.2653744244268475,0.0083451843079193,0.1967154190211106,0.0068034212307388,0.7821817387308682,0.0120333596105143,5-fold sample-size experiment
California Housing,Extended,2500,5,XGBoost,Not applicable,0.2430565402263017,0.0105664174871742,0.1796419288567184,0.0061710592263748,0.81685602641192,0.0190026968636846,5-fold sample-size experiment
California Housing,Extended,2500,5,TabPFN,Not applicable,0.2033586259308199,0.0084506487258638,0.1408934418163649,0.0038493271597573,0.8719560726506115,0.0110393594829237,5-fold sample-size experiment
California Housing,Extended,5000,5,OLS,Not applicable,0.3365749473891565,0.0160799102789935,0.2503564882346191,0.0108049599768349,0.6485131901398482,0.0334905147028143,5-fold sample-size experiment
California Housing,Extended,5000,5,Ridge,Not applicable,0.3365193156991911,0.016047116776719,0.250464101683473,0.0108627609386077,0.6486322365645062,0.0333943682308964,5-fold sample-size experiment
California Housing,Extended,5000,5,Random Forest,Not applicable,0.2517786772844411,0.0096192941451874,0.1818712343376337,0.0052775949857711,0.8036046538060235,0.0110208829198474,5-fold sample-size experiment
California Housing,Extended,5000,5,XGBoost,Not applicable,0.2369380318566333,0.0130158698960565,0.172334376033124,0.0040147422473097,0.8259593241992851,0.0154963369968784,5-fold sample-size experiment
California Housing,Extended,5000,5,TabPFN,Not applicable,0.1939712681450434,0.0113843732667511,0.1296902838340935,0.0037434005242742,0.8832053335267119,0.0128531252879106,5-fold sample-size experiment
California Housing,Extended,10000,5,OLS,Not applicable,0.3488423837769495,0.0043132958887715,0.2647590884782562,0.0052064438043888,0.6211661701922644,0.0105101363936542,5-fold sample-size experiment
California Housing,Extended,10000,5,Ridge,Not applicable,0.348840152844549,0.004314453018101,0.2647606492172595,0.0052057386323979,0.621170935407638,0.010514773933415,5-fold sample-size experiment
California Housing,Extended,10000,5,Random Forest,Not applicable,0.241351986544822,0.0047497752025152,0.17015576320688,0.0037500584543242,0.8187030466979961,0.0046666458529853,5-fold sample-size experiment
California Housing,Extended,10000,5,XGBoost,Not applicable,0.2365434127880907,0.0040300085261755,0.1697549808325782,0.0020621324338043,0.8258666592432709,0.0030075069522569,5-fold sample-size experiment
California Housing,Extended,10000,5,TabPFN,Not applicable,0.1911832223464392,0.0037291268624646,0.1245849049365469,0.0026238110944936,0.8862022098855352,0.0043321806941903,5-fold sample-size experiment
California Housing,Extended,20640,5,OLS,Not applicable,0.3553316429001553,0.0100436874626378,0.268935439623795,0.004551201279676,0.6099116688467687,0.0201851964576427,5-fold sample-size experiment
California Housing,Extended,20640,5,Ridge,Not applicable,0.3554386875594861,0.0097941384377781,0.2691510642036497,0.004250971783828,0.6096860181512728,0.0196554940386068,5-fold sample-size experiment
California Housing,Extended,20640,5,Random Forest,Not applicable,0.2318317292746709,0.0098637690669886,0.1594358870595081,0.0049832011213,0.8338059252438231,0.013738872933559,5-fold sample-size experiment
California Housing,Extended,20640,5,XGBoost,Not applicable,0.233187352317323,0.0075298797013986,0.1663918727718563,0.0042894519091962,0.8319378966496691,0.0106284298114794,5-fold sample-size experiment
California Housing,Extended,20640,5,TabPFN,Not applicable,0.1878728390503573,0.0096642592775551,0.1189906481302613,0.003668767883677,0.8907830639039661,0.0109956400912608,5-fold sample-size experiment
