"dataset","specification","sample_size","outer_folds","model","zipcode_representation","completed_folds","n_test_n_train_ratio","rmse_mean","rmse_sample_variance","rmse_std","rmse_corrected_se","mae_mean","mae_sample_variance","mae_std","mae_corrected_se","r2_mean","r2_sample_variance","r2_std","r2_corrected_se"
"King County","Extended","5000","5","Random Forest","One-hot encoded","5","0.25","0.192085699832204","6.49060015579265E-05","0.00805642610329956","0.00540441492680447","0.13609676647428","1.30454228419805E-05","0.0036118447976042","0.00242289914748659","0.867436652671636","0.000218007946043654","0.0147650921447736","0.00990472491892856"
"King County","Extended","5000","5","XGBoost","One-hot encoded","5","0.25","0.172946611973125","5.08877914640717E-05","0.00713356793365506","0.00478534284652963","0.124742750806091","1.15317209431328E-05","0.00339583876871868","0.00227799789824524","0.892759155151901","7.84965295280974E-05","0.00885982672111015","0.00594335244518141"
"King County","Extended","5000","5","TabPFN","Category-coded","5","0.25","0.161250696126528","7.66833941080048E-05","0.00875690550982508","0.0058743107977534","0.113772441757497","1.29981854899751E-05","0.00360529963941628","0.00241850852189708","0.906614511366588","0.0001199666142895","0.0109529272018717","0.00734744693279748"
"King County","Extended","10000","5","OLS","One-hot encoded","5","0.25","0.187510677288941","3.06449455207177E-05","0.00553578770553186","0.00371351928557305","0.13726153275507","5.3141401075925E-06","0.00230524187615801","0.00154640326190054","0.872177119554627","6.33110433403808E-05","0.00795682369670089","0.00533759960124131"
"King County","Extended","10000","5","Ridge","One-hot encoded","5","0.25","0.187505170053883","3.07358077560828E-05","0.00554398843397808","0.00371902050145428","0.137257398355739","5.35102824442757E-06","0.00231322896498111","0.00155176116396577","0.872184376499909","6.34914815068403E-05","0.00796815420952935","0.00534520034031262"
"King County","Extended","10000","5","Random Forest","One-hot encoded","5","0.25","0.183487988562667","5.69596338142523E-05","0.00754716064584902","0.00506278927236889","0.128861375487488","1.78902298417575E-05","0.0042296843666824","0.002837358530181","0.877568243509625","8.89850577619425E-05","0.009433189161781","0.00632797566310697"
"King County","Extended","10000","5","XGBoost","One-hot encoded","5","0.25","0.169748429302","3.67385485033774E-05","0.00606123324937899","0.00406599887192801","0.121606105597258","8.62010161686393E-06","0.00293600095655024","0.00196952931625522","0.895216937425984","5.7775330693649E-05","0.00760100853134958","0.00509891153209605"
"King County","Extended","10000","5","TabPFN","Category-coded","5","0.25","0.156516565163232","5.12749964356503E-05","0.00716065614560917","0.00480351417152512","0.109668391642462","7.24918575194206E-06","0.00269243119725316","0.00180613775453976","0.910861850047804","6.64302436362396E-05","0.00815047505586267","0.0054675048821476"
"King County","Extended","21613","5","OLS","One-hot encoded","5","0.25","0.188068843326682","1.25553891182724E-06","0.00112050832742432","0.000751659836842611","0.137880320781694","6.99129749771672E-07","0.000836139790807537","0.000560899623281432","0.872441295652432","2.73470364352532E-06","0.00165369393889115","0.001109331618402"
"King County","Extended","21613","5","Ridge","One-hot encoded","5","0.25","0.188066686993351","1.26573864754597E-06","0.00112505050888659","0.000754706824797342","0.137877899688015","7.03336046267118E-07","0.000838651325800608","0.000562584412173145","0.872444162052124","2.76290394982596E-06","0.00166219852900487","0.00111503667088651"
"King County","Extended","21613","5","Random Forest","One-hot encoded","5","0.25","0.176937631687383","3.52195789336787E-06","0.00187668801172914","0.00125892059003558","0.124390876824893","1.33844037494972E-06","0.00115690983872976","0.000776078712971419","0.887057456776447","1.41421809268588E-05","0.00376060911646755","0.00252269328636806"
"King County","Extended","21613","5","XGBoost","One-hot encoded","5","0.25","0.167961367714059","2.39443544368675E-06","0.00154739634343847","0.00103802502361891","0.121211820656625","1.31561881013812E-06","0.00114700427642539","0.000769433859771036","0.898237900214022","7.99851788243611E-06","0.00282816510876506","0.00189719083043753"
"King County","Extended","21613","5","TabPFN","Category-coded","5","0.25","0.154373377360351","2.39100893731469E-06","0.00154628876259083","0.00103728203579914","0.107448026581046","9.62877902297894E-07","0.000981263421461278","0.000658251514266433","0.914029888428625","7.42466055414544E-06","0.0027248230317115","0.00182786685766919"
"California Housing","Parsimonious","1000","5","OLS","Not applicable","5","0.25","0.408140196793516","9.6107683538344E-05","0.00980345263355436","0.00657635595084807","0.311072814583216","0.000137482695543502","0.0117253015118376","0.00786557137114499","0.486573571791329","0.00233488621391117","0.0483206603215558","0.0324144843590027"
"California Housing","Parsimonious","1000","5","Ridge","Not applicable","5","0.25","0.408014934753287","0.000104759052154695","0.0102351869623713","0.00686597214308452","0.311942554790747","0.000135874346948555","0.0116565152146152","0.00781942812019204","0.48698533983307","0.00223124858524684","0.0472360940938901","0.0316869352156544"
"California Housing","Parsimonious","1000","5","Random Forest","Not applicable","5","0.25","0.360347112278524","0.000593366445399828","0.02435911421624","0.0163405905777583","0.276499534311624","0.000406028398234277","0.0201501463576391","0.0135171291036753","0.598041080850412","0.00401705525373985","0.0633802434023399","0.0425167598034344"
